Book Order,Proposed,Unit
817,Blue Mountains Wilderness,Mill Creek
818,Blue Mountains Wilderness,North Fork Umatilla Additions
819,Blue Mountains Wilderness,North Headwaters Additions
820,Blue Mountains Wilderness,South Headwaters Additions
821,Blue Mountains Wilderness,Owsley Creek
822,Blue Mountains Wilderness,Potamus Creek
823,Blue Mountains Wilderness,Skookum Creek
824,Blue Mountains Wilderness,Short Canyon
825,Blue Mountains Wilderness,Sugarloaf Mountain
826,Blue Mountains Wilderness,Tamarack Creek
827,Blue Mountains Wilderness,Texas Butte
828,Blue Mountains Wilderness,Thompson Falls
829,Blue Mountains Wilderness,Thorn Spring
830,Blue Mountains Wilderness,Tiger Creek
831,Blue Mountains Wilderness,Turner Mountain
832,Blue Mountains Wilderness,Upper Potamus Creek
833,Blue Mountains Wilderness,West Birch Creek
834,Blue Mountains Wilderness,Wildhorse Springs
835,Blue Mountains Wilderness,Willow Springs
836,Grande Ronde Wilderness,Bally Mountain
837,Grande Ronde Wilderness,Beaver Creek
838,Grande Ronde Wilderness,Big Sink Ridge
839,Grande Ronde Wilderness,Boner Gulch
840,Grande Ronde Wilderness,Cottonwood Creek-Broady Creek
841,Grande Ronde Wilderness,Courtney Creek
842,Grande Ronde Wilderness,Davis Creek
843,Grande Ronde Wilderness,East Fork Grande Ronde River
844,Grande Ronde Wilderness,Five Points Creek
845,Grande Ronde Wilderness,Fly Creek
846,Grande Ronde Wilderness,Fly Ridge
847,Grande Ronde Wilderness,Forks of the Walla Walla
848,Grande Ronde Wilderness,Gordon Creek
849,Grande Ronde Wilderness,Grande Ronde Canyon
850,Grande Ronde Wilderness,Grande Ronde Lake
851,Grande Ronde Wilderness,Huckleberry Mountain
852,Grande Ronde Wilderness,Indiana Creek
853,Grande Ronde Wilderness,Joseph Canyon
854,Grande Ronde Wilderness,Joseph Creek
855,Grande Ronde Wilderness,Jussard Creek
856,Grande Ronde Wilderness,Klondike Springs
857,Grande Ronde Wilderness,Limber Jim Meadows
858,Grande Ronde Wilderness,Little Fly Creek
859,Grande Ronde Wilderness,Little Lookingglass Creek
860,Grande Ronde Wilderness,Little Phillips Canyon
861,Grande Ronde Wilderness,Lookingglass Creek
862,Grande Ronde Wilderness,Lower Beaver Creek
863,Grande Ronde Wilderness,Meadow Creek
864,Grande Ronde Wilderness,Moonshine Canyon-North Mount Emily
865,Grande Ronde Wilderness,Mount Emily
866,Grande Ronde Wilderness,Mount Emily Creek
867,Grande Ronde Wilderness,Red Bridge
868,Grande Ronde Wilderness,South Fork Cabin Creek
869,Grande Ronde Wilderness,Starkey Creek
870,Grande Ronde Wilderness,Sugarloaf Mountain
871,Grande Ronde Wilderness,Sumac Creek
872,Grande Ronde Wilderness,Tope CreekMud Creek
873,Grande Ronde Wilderness,Upper McCoy Creek
874,Grande Ronde Wilderness,Waucup Creek
875,Grande Ronde Wilderness,Wenaha-Tucannon Additions
876,Grande Ronde Wilderness,Wenaha River Headwaters
877,Grande Ronde Wilderness,White Pine Knob
878,Grande Ronde Wilderness,Whitehorse Ridge
879,Grande Ronde Wilderness,Wildcat Creek
880,Grande Ronde Wilderness,Yew Wood Springs
881,Hells Canyon Wilderness Additions,Bear Gulch
882,Hells Canyon Wilderness Additions,Big and Little Sheep Creeks
883,Hells Canyon Wilderness Additions,Buckhorn
884,Hells Canyon Wilderness Additions,Chesnimnus Creek Headwaters
885,Hells Canyon Wilderness Additions,Echo Canyon
886,Hells Canyon Wilderness Additions,Fish Creek
887,Hells Canyon Wilderness Additions,Gumboot Butte
888,Hells Canyon Wilderness Additions,Hells Canyon Additions
889,Hells Canyon Wilderness Additions,Buckhorn
890,Hells Canyon Wilderness Additions,Crazyman Creek
891,Hells Canyon Wilderness Additions,Homestead
892,Hells Canyon Wilderness Additions,Imnaha Face
893,Hells Canyon Wilderness Additions,Lord Flat
894,Hells Canyon Wilderness Additions,Snake River Corridor
895,Hells Canyon Wilderness Additions,Lake Fork Creek
896,Hells Canyon Wilderness Additions,Morgan Creek
897,Hells Canyon Wilderness Additions,North Cold Spring Mountain
898,Hells Canyon Wilderness Additions,North Fork Dry Creek
899,Hells Canyon Wilderness Additions,Stickney Gulch
900,Hells Canyon Wilderness Additions,Thomason Meadows
901,Malheur Basin Wilderness,Badger Canyon
902,Malheur Basin Wilderness,Black Rock
903,Malheur Basin Wilderness,Bulger Creek
904,Malheur Basin Wilderness,Calamity Butte
905,Malheur Basin Wilderness,Chapin Table
906,Malheur Basin Wilderness,Chickahominy Creek
907,Malheur Basin Wilderness,Coffeepot Creek
908,Malheur Basin Wilderness,Cow Creek
909,Malheur Basin Wilderness,Devine Canyon
910,Malheur Basin Wilderness,Dipping Vat Creek
911,Malheur Basin Wilderness,Dry Mountain
912,Malheur Basin Wilderness,Emigrant Creek
913,Malheur Basin Wilderness,Garret Basin Spring
914,Malheur Basin Wilderness,Gibbons Mill Canyon
915,Malheur Basin Wilderness,Gradon Canyon
916,Malheur Basin Wilderness,Green Butte
917,Malheur Basin Wilderness,Hay Creek
918,Malheur Basin Wilderness,House Creek
919,Malheur Basin Wilderness,Hughet Valley
920,Malheur Basin Wilderness,Johnnie Creek
921,Malheur Basin Wilderness,King Mountain
922,Malheur Basin Wilderness,Linda Driskil
923,Malheur Basin Wilderness,Link Bar Spring
924,Malheur Basin Wilderness,Lost Creek
925,Malheur Basin Wilderness,Lower Buck Mountain
926,Malheur Basin Wilderness,Lower Divine Canyon
927,Malheur Basin Wilderness,Mineral Canyon
928,Malheur Basin Wilderness,Myrtle Creek - Silvies River
929,Malheur Basin Wilderness,Myrtle Park Meadows
930,Malheur Basin Wilderness,Parasol Butte
931,Malheur Basin Wilderness,Pine Spring Basin
932,Malheur Basin Wilderness,Professor Spring
933,Malheur Basin Wilderness,Rail Creek
934,Malheur Basin Wilderness,Rice Spring
935,Malheur Basin Wilderness,Sage Hen Creek
936,Malheur Basin Wilderness,Sawtooth Creek
937,Malheur Basin Wilderness,Scotty Creek
938,Malheur Basin Wilderness,Sharff Cabin Creek
939,Malheur Basin Wilderness,Silver Creek
940,Malheur Basin Wilderness,Stancliffe Creek
941,Malheur Basin Wilderness,Stinger Creek
942,Malheur Basin Wilderness,Sundown Ridge
943,Malheur Basin Wilderness,Upper Jump Creek
944,Malheur Basin Wilderness,Upper Mill Creek
945,Malheur Basin Wilderness,Upper Mountain Creek
946,Malheur Basin Wilderness,West Fork Silvies River
947,Malheur Canyons Wilderness,Black Butte
948,Malheur Canyons Wilderness,Calamity Creek
949,Malheur Canyons Wilderness,Cottonwood Creek
950,Malheur Canyons Wilderness,Craft Point
951,Malheur Canyons Wilderness,Deardorff Creek
952,Malheur Canyons Wilderness,Deardorff Mountain
953,Malheur Canyons Wilderness,Duck Creek Headwaters
954,Malheur Canyons Wilderness,Elbow Canyon
955,Malheur Canyons Wilderness,Flag Creek
956,Malheur Canyons Wilderness,Gabe Spring
957,Malheur Canyons Wilderness,Glacier Mountain
958,Malheur Canyons Wilderness,Goodwater Spring
959,Malheur Canyons Wilderness,Gunbarrel Creek
960,Malheur Canyons Wilderness,Huckleberry Creek
961,Malheur Canyons Wilderness,Last Chance Creek
962,Malheur Canyons Wilderness,Little Bear Meadow
963,Malheur Canyons Wilderness,Little Muddy Creek
964,Malheur Canyons Wilderness,Logan Valley
965,Malheur Canyons Wilderness,Long Creek
966,Malheur Canyons Wilderness,Magpie Table
967,Malheur Canyons Wilderness,Malheur River Canyon
968,Malheur Canyons Wilderness,Middle Willow
969,Malheur Canyons Wilderness,Monument Rock Additions
970,Malheur Canyons Wilderness,Bullrun Creek
971,Malheur Canyons Wilderness,Camp Creek
972,Malheur Canyons Wilderness,Elk Flat
973,Malheur Canyons Wilderness,Little Malheur River
974,Malheur Canyons Wilderness,Lookout Spring
975,Malheur Canyons Wilderness,North Fork Malheur River
976,Malheur Canyons Wilderness,Pine Creek
977,Malheur Canyons Wilderness,Ragged Rock Spring
978,Malheur Canyons Wilderness,Reynolds Creek
979,Malheur Canyons Wilderness,Sheep Gulch
980,Malheur Canyons Wilderness,Schurtz Creek
981,Malheur Canyons Wilderness,Skull Springs
982,Malheur Canyons Wilderness,Spring Creek
983,Malheur Canyons Wilderness,Strawberry Mountain Additions
984,Malheur Canyons Wilderness,Meadow Fork
985,Malheur Canyons Wilderness,Summit Rock
986,Malheur Canyons Wilderness,Upper Blue Bucket Creek
987,Malheur Canyons Wilderness,Upper Malheur River
988,Malheur Canyons Wilderness,Van Gulch
989,North Fork John Day-Elkhorns Wilderness,Antone Creek
990,North Fork John Day-Elkhorns Wilderness,Arch Rock
991,North Fork John Day-Elkhorns Wilderness,Battle Creek
992,North Fork John Day-Elkhorns Wilderness,Bear Butte
993,North Fork John Day-Elkhorns Wilderness,Bear Wallow Springs
994,North Fork John Day-Elkhorns Wilderness,Beaver Dam Creek
995,North Fork John Day-Elkhorns Wilderness,Big Creek
996,North Fork John Day-Elkhorns Wilderness,Big Springs
997,North Fork John Day-Elkhorns Wilderness,Black Mountain
998,North Fork John Day-Elkhorns Wilderness,Bone Point
999,North Fork John Day-Elkhorns Wilderness,Bridge Creek
1000,North Fork John Day-Elkhorns Wilderness,Case Ridge
1001,North Fork John Day-Elkhorns Wilderness,China Creek
1002,North Fork John Day-Elkhorns Wilderness,Clear Creek
1003,North Fork John Day-Elkhorns Wilderness,Cornet Creek
1004,North Fork John Day-Elkhorns Wilderness,Crawford Creek
1005,North Fork John Day-Elkhorns Wilderness,Czar Springs
1006,North Fork John Day-Elkhorns Wilderness,Davis Creek
1007,North Fork John Day-Elkhorns Wilderness,Dean Creek
1008,North Fork John Day-Elkhorns Wilderness,Deep Canyon
1009,North Fork John Day-Elkhorns Wilderness,Desolation Creek
1010,North Fork John Day-Elkhorns Wilderness,Dixie Butte
1011,North Fork John Day-Elkhorns Wilderness,Fly Creek
1012,North Fork John Day-Elkhorns Wilderness,Forks of Cable Creek-Hidaway Meadows
1013,North Fork John Day-Elkhorns Wilderness,Fox Creek
1014,North Fork John Day-Elkhorns Wilderness,Greenhorn Mountain Unit Additions (Greenhorn Mountains)
1015,North Fork John Day-Elkhorns Wilderness,Hinton Creek
1016,North Fork John Day-Elkhorns Wilderness,Horse Canyon
1017,North Fork John Day-Elkhorns Wilderness,Hunt Mountain
1018,North Fork John Day-Elkhorns Wilderness,Idaho Creek
1019,North Fork John Day-Elkhorns Wilderness,Indian Creek
1020,North Fork John Day-Elkhorns Wilderness,Jumpoff Joe Peak
1021,North Fork John Day-Elkhorns Wilderness,Keeney Meadows
1022,North Fork John Day-Elkhorns Wilderness,Lamb Creek
1023,North Fork John Day-Elkhorns Wilderness,Long Creek Municipal Watershed
1024,North Fork John Day-Elkhorns Wilderness,Long Meadow
1025,North Fork John Day-Elkhorns Wilderness,Lost Boy
1026,North Fork John Day-Elkhorns Wilderness,Lunch Creek
1027,North Fork John Day-Elkhorns Wilderness,Marble Point
1028,North Fork John Day-Elkhorns Wilderness,Middle North Fork John Day River Unit Additions
1029,North Fork John Day-Elkhorns Wilderness,Granite Creek Headwaters
1030,North Fork John Day-Elkhorns Wilderness,Howard Creek
1031,North Fork John Day-Elkhorns Wilderness,Martin Creek
1032,North Fork John Day-Elkhorns Wilderness,Moon Meadow
1033,North Fork John Day-Elkhorns Wilderness,Rabbit Creek Headwaters
1034,North Fork John Day-Elkhorns Wilderness,Silver Butte
1035,North Fork John Day-Elkhorns Wilderness,Upper North Fork John Day River
1036,North Fork John Day-Elkhorns Wilderness,Mud Spring
1037,North Fork John Day-Elkhorns Wilderness,Mulkey Springs
1038,North Fork John Day-Elkhorns Wilderness,Nipple Butte
1039,North Fork John Day-Elkhorns Wilderness,Pasture Creek
1040,North Fork John Day-Elkhorns Wilderness,Patrick Creek
1041,North Fork John Day-Elkhorns Wilderness,Pogue Mountain
1042,North Fork John Day-Elkhorns Wilderness,Pole Bridge Creek
1043,North Fork John Day-Elkhorns Wilderness,Resiliency Butte
1044,North Fork John Day-Elkhorns Wilderness,Rock Creek Butte
1045,North Fork John Day-Elkhorns Wilderness,Skinner Creek
1046,North Fork John Day-Elkhorns Wilderness,South Fork Long Creek
1047,North Fork John Day-Elkhorns Wilderness,Stices Creek
1048,North Fork John Day-Elkhorns Wilderness,Thompson Gulch
1049,North Fork John Day-Elkhorns Wilderness,Tope Spring
1050,North Fork John Day-Elkhorns Wilderness,Trail Creek
1051,North Fork John Day-Elkhorns Wilderness,Trout Creek
1052,North Fork John Day-Elkhorns Wilderness,Twisted Rush
1053,North Fork John Day-Elkhorns Wilderness,Upper China Creek
1054,North Fork John Day-Elkhorns Wilderness,Upper Frosty Gulch
1055,North Fork John Day-Elkhorns Wilderness,Upper North Fork John Day River Unit Additions
1056,North Fork John Day-Elkhorns Wilderness,Cabell Meadow
1057,North Fork John Day-Elkhorns Wilderness,Elkhorn Ridge
1058,North Fork John Day-Elkhorns Wilderness,South Mount Ireland
1059,North Fork John Day-Elkhorns Wilderness,South Columbia Hill
1060,North Fork John Day-Elkhorns Wilderness,White Pine Knob
1061,Ochoco Mountains Wilderness,Ashley Ridge
1062,Ochoco Mountains Wilderness,Badger Creek
1063,Ochoco Mountains Wilderness,Begg Creek
1064,Ochoco Mountains Wilderness,Bellworm Canyon
1065,Ochoco Mountains Wilderness,Bridge Creek Additions
1066,Ochoco Mountains Wilderness,East Point
1067,Ochoco Mountains Wilderness,Maxwell Creek
1068,Ochoco Mountains Wilderness,Broadway Lava
1069,Ochoco Mountains Wilderness,Bull Mountain
1070,Ochoco Mountains Wilderness,Cottonwood Creek
1071,Ochoco Mountains Wilderness,Cougar Creek
1072,Ochoco Mountains Wilderness,Deer Creek
1073,Ochoco Mountains Wilderness,Dingus Springs
1074,Ochoco Mountains Wilderness,Dodds Creek
1075,Ochoco Mountains Wilderness,Dutchman Flat
1076,Ochoco Mountains Wilderness,Grassy Butte
1077,Ochoco Mountains Wilderness,Green Mountain
1078,Ochoco Mountains Wilderness,Hammer Creek
1079,Ochoco Mountains Wilderness,Hardscrabble Ridge
1080,Ochoco Mountains Wilderness,Hickey Creek
1081,Ochoco Mountains Wilderness,Indian Creek
1082,Ochoco Mountains Wilderness,Little Round Prairie
1083,Ochoco Mountains Wilderness,Lookout Mountain
1084,Ochoco Mountains Wilderness,Mill Creek Additions
1085,Ochoco Mountains Wilderness,Fintcher Creek
1086,Ochoco Mountains Wilderness,Wildcat Creek Headwaters
1087,Ochoco Mountains Wilderness,Mount Pisgah
1088,Ochoco Mountains Wilderness,North Bear Creek
1089,Ochoco Mountains Wilderness,North Fork Crooked River
1090,Ochoco Mountains Wilderness,Ochoco Divide
1091,Ochoco Mountains Wilderness,Peterson Lava
1092,Ochoco Mountains Wilderness,Rough Canyon
1093,Ochoco Mountains Wilderness,Round Mountain
1094,Ochoco Mountains Wilderness,Salt Butte
1095,Ochoco Mountains Wilderness,Steins Pillar
1096,Ochoco Mountains Wilderness,Tamarack Creek
1097,Ochoco Mountains Wilderness,Williams Prairie
1098,Ochoco Mountains Wilderness,Zany Fox
1099,South Fork John Day Wilderness,Antelope Creek
1100,South Fork John Day Wilderness,Ashley Ridge
1101,South Fork John Day Wilderness,Bear Tree Springs
1102,South Fork John Day Wilderness,Begg Creek
1103,South Fork John Day Wilderness,Black Canyon Additions
1104,South Fork John Day Wilderness,Bear SkullKelsey Spring
1105,South Fork John Day Wilderness,Cottonwood Creek
1106,South Fork John Day Wilderness,Wolf Mountain
1107,South Fork John Day Wilderness,Blue Ridge Spring
1108,South Fork John Day Wilderness,Burnt Mountain
1109,South Fork John Day Wilderness,Cougar Creek
1110,South Fork John Day Wilderness,Cougar Mountain
1111,South Fork John Day Wilderness,Devils Creek
1112,South Fork John Day Wilderness,Gilbert Ridge
1113,South Fork John Day Wilderness,Hardscrabble Ridge
1114,South Fork John Day Wilderness,Horse Mountain
1115,South Fork John Day Wilderness,Johnnie Creek
1116,South Fork John Day Wilderness,Lewis Officer Creek
1117,South Fork John Day Wilderness,Lower Murderers Creek
1118,South Fork John Day Wilderness,Murderers Creek
1119,South Fork John Day Wilderness,Sharff Cabin Creek
1120,South Fork John Day Wilderness,Snow Mountain
1121,South Fork John Day Wilderness,South Fork Deer Creek
1122,South Fork John Day Wilderness,Spanish Peak
1123,South Fork John Day Wilderness,Upper Murderers Creek
1124,South Fork John Day Wilderness,Venator Creek
1125,South Fork John Day Wilderness,Wildcat Gulch
1126,South Fork John Day Wilderness,Wind Creek
1127,Upper John Day Wilderness,Belshaw Creek
1128,Upper John Day Wilderness,Cottonwood Creek
1129,Upper John Day Wilderness,Cummings Creek
1130,Upper John Day Wilderness,Deardorff Creek
1131,Upper John Day Wilderness,Dixie Butte
1132,Upper John Day Wilderness,Fall Mountain
1133,Upper John Day Wilderness,Grouse Creek
1134,Upper John Day Wilderness,Hanscomb Mountain
1135,Upper John Day Wilderness,Huckleberry Creek
1136,Upper John Day Wilderness,Johnson Saddle
1137,Upper John Day Wilderness,Keeney Meadows
1138,Upper John Day Wilderness,Laycock Creek
1139,Upper John Day Wilderness,McClellan Mountain
1140,Upper John Day Wilderness,Nipple Butte
1141,Upper John Day Wilderness,Reynolds Creek
1142,Upper John Day Wilderness,Sagebrush Springs
1143,Upper John Day Wilderness,South Fox Creek
1144,Upper John Day Wilderness,Strawberry Mountain Additions
1145,Upper John Day Wilderness,Crescent Creek
1146,Upper John Day Wilderness,Frazier Nichol
1147,Upper John Day Wilderness,Little Canyon Mountain
1148,Upper John Day Wilderness,Little Indian Creek
1149,Upper John Day Wilderness,Pine Creek
1150,Upper John Day Wilderness,Sheep Gulch
1151,Upper John Day Wilderness,Strawberry Creek
1152,Upper John Day Wilderness,Vance Creek
1153,Upper John Day Wilderness,Wickiup Creek
1154,Upper John Day Wilderness,Wildcat Canyon
1155,Wallowa Mountains Wilderness,Castle Ridge
1156,Wallowa Mountains Wilderness,Cougar Creek
1157,Wallowa Mountains Wilderness,Eagle Cap Additions
1158,Wallowa Mountains Wilderness,Bear Creek-Huckleberry Mountain
1159,Wallowa Mountains Wilderness,Catherine Creek Headwaters
1160,Wallowa Mountains Wilderness,Eagle Creek Headwaters
1161,Wallowa Mountains Wilderness,Lick Creek
1162,Wallowa Mountains Wilderness,Lostine River
1163,Wallowa Mountains Wilderness,Lower McCully Creek
1164,Wallowa Mountains Wilderness,Northeast Additions
1165,Wallowa Mountains Wilderness,Northwest Additions
1166,Wallowa Mountains Wilderness,Pine Creek Headwaters
1167,Wallowa Mountains Wilderness,South Imnaha Slope
1168,Wallowa Mountains Wilderness,Goose Creek
1169,Wallowa Mountains Wilderness,Grave Creek-Deer Creek
1170,Wallowa Mountains Wilderness,Lake Fork Creek
1171,Wallowa Mountains Wilderness,Lick Creek
1172,Wallowa Mountains Wilderness,Lower Eagle Creek
1173,Wallowa Mountains Wilderness,Mount Howard
1174,Wallowa Mountains Wilderness,Mud Lake
1175,Wallowa Mountains Wilderness,Sawmill Creek
1176,Wallowa Mountains Wilderness,Skull Creek
1177,Wallowa Mountains Wilderness,South Fork Catherine Creek
1178,Wallowa Mountains Wilderness,Summit Creek
1179,Wallowa Mountains Wilderness,Upper Summit Creek
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,